gliederungsschluessel,gliederungsebene,name,url
10100000,LV,Baden-Württemberg,http://www.gruene-bw.de
10100100,KV,Aalen-Ellwangen,http://www.gruene-aalen.de/kreisverband.html
10100101,OV,Aalen,
10100102,OV,Ellwangen,
10100103,OV,Oberkochen,
10100200,KV,Alb-Donau,http://www.gruene-alb-donau.de
10100201,OV,Blaubeuren,
10100202,OV,Ehingen,
10100203,OV,Langenau,
10100204,OV,Blaustein,
10100205,OV,Munderkingen,
10100206,OV,Nördlicher Alb-Donau-Kreis,
10100207,OV,Erbach,
10100300,KV,Biberach,http://www.gruene-bc.de
10100400,KV,Bodenseekreis,http://www.gruene-bodenseekreis.de
10100401,OV,Friedrichshafen,http://www.gruene.de/friedrichshafen/
10100403,OV,Tettnang,http://www.gruene-tettnang.de
10100404,OV,Überlingen,
10100405,OV,Kressbronn und Umgebung,
10100406,OV,Immenstaad,
10100407,OV,Salem-Heiligenberg,
10100408,OV,Langenargen,
10100500,KV,Böblingen,http://www.gruene-boeblingen.de
10100501,OV,Leonberg,
10100502,OV,Aidlingen,http://www.aidlingen.de/gruene/
10100503,OV,Böblingen,http://www.gruene-bb.de
10100504,OV,Ehningen,
10100505,OV,Grafenau,
10100506,OV,Herrenberg,http://www.gruene-herrenberg.de
10100507,OV,Magstadt,
10100508,OV,Renningen,http://www.gruene-renningen.de
10100509,OV,Rutesheim-Weissach,
10100510,OV,Schönaich,http://www.gruene-schoenaich.de
10100511,OV,Sindelfingen,http://www.gruenesifi.de
10100512,OV,Weil der Stadt,http://www.wds-gruene.de
10100600,KV,Breisgau-Hochschwarzwald,www.gruene-breisgau-hochschwarzwald.de
10100601,OV,Breisach,
10100602,OV,Dreisamtal,
10100603,OV,Gundelfingen,http://www.gruene-gundelfingen.de
10100604,OV,Hexental,
10100605,OV,Hochschwarzwald,
10100606,OV,Ihringen,
10100608,OV,March/Umkirch,
10100611,OV,Südlicher Breisgau,
10100612,OV,Müllheim-Neuenburg,http://www.gruene-muellheim-neuenburg.de
10100613,OV,Staufen-Münstertal,
10100700,KV,Calw,http://www.gruene-kreis-calw.de
10100701,OV,Althengstett/Gechingen/Ostelsheim/Simmozheim,http://www.hengstett.de
10100703,OV,Bad Liebenzell,
10100704,OV,Calw,
10100705,OV,Nagold,
10100707,OV,Wildberg,http://www.wildberg.gruene-kreis-calw.de
10100800,KV,Emmendingen,http://www.gruene-em.de
10100801,OV,Denzlingen,
10100803,OV,Emmendingen,
10100804,OV,Nördlicher Breisgau,
10100806,OV,Teningen,
10100807,OV,Waldkirch,
10100900,KV,Esslingen,http://www.gruene-es.de
10100901,OV,Aichtal-Neckartal,www.alternativeneckartenzlingen.de
10100902,OV,Aichwald,
10100903,OV,Esslingen,http://www.gruene-esslingen.de
10100904,OV,Filderstadt,http://www.gruene-filderstadt.de
10100905,OV,Kirchheim/Teck,http://www.gruene-kirchheim-teck.de
10100906,OV,Leinfelden/Echterdingen,gruene-le.de
10100907,OV,Neckar-Fils,
10100908,OV,Neuffener Tal,
10100910,OV,Ostfildern,http://www.gruene-ostfildern.de
10100911,OV,Schurwald,www.gruene-schurwald.de
10100912,OV,Wendlingen,http://gruene-wendlingen.de
10100913,OV,Wolfschlugen,
10100914,OV,Nürtingen,
10101000,KV,Ettlingen,http://www.gruene-ettlingen.de
10101001,OV,Ettlingen,http://www.gruene-ettlingen.de
10101003,OV,Malsch,
10101004,OV,Rheinstetten,http://www.gruene-rheinstetten.de
10101100,KV,Freiburg,http://www.gruene-freiburg.de
10101200,KV,Freudenstadt,http://www.gruene-freudenstadt.de
10101201,OV,Horb,
10101202,OV,Freudenstadt,
10101300,KV,Göppingen,http://www.gruene-goeppingen.de
10101301,OV,Boll,
10101302,OV,Ebersbach,
10101303,OV,Eislingen,
10101304,OV,Helfensteiner Land,
10101305,OV,Östlicher Schurwald,
10101307,OV,Göppingen,
10101308,OV,Süßen,http://www.gruene-suessen.de
10101400,KV,Kurpfalz-Hardt,http://www.gruene-hardt.de
10101401,OV,Eppelheim,
10101402,OV,Hockenheim,
10101404,OV,Schwetzingen,
10101405,OV,Walldorf,
10101406,OV,Sandhausen,
10101407,OV,Lußheim,
10101408,OV,Reilingen,
10101409,OV,St.Leon-Rot,
10101410,OV,Ketsch,
10101500,KV,Heidelberg,http://www.gruene-heidelberg.de
10101600,KV,Heidenheim,http://www.gruene-heidenheim.de
10101601,OV,Gerstetten,
10101603,OV,Heidenheim,
10101604,OV,Königsbronn,
10101700,KV,Heilbronn,http://www.gruene-heilbronn.de
10101705,OV,Eppingen,
10101706,OV,Heilbronn,
10101707,OV,Lauffen,http://www.gruene-lauffen.de
10101708,OV,Leingarten,http://www.gruene-leingarten.de
10101709,OV,Möckmühl,
10101710,OV,Neckarsulm,
10101712,OV,Untergruppenbach,
10101713,OV,Weinsberger Tal,
10101715,OV,Zabergäu,
10101716,OV,Bäderstädte,
10101800,KV,Hohenlohe,http://www.gruene-hohenlohe.de
10101801,OV,Öhringen,
10101900,KV,Karlsruhe,http://www.gruenekarlsruhe.de
10101901,OV,Durlach,
10101902,OV,Karlsruhe-Ost,
10101903,OV,Neureut,
10101904,OV,Rüppurr,
10101905,OV,Grötzingen,
10102000,KV,Karlsruhe-Land,http://www.gruene-karlsruhe-land.de
10102001,OV,Bretten,
10102002,OV,Bruchsal,
10102003,OV,Eggenstein-Leopoldshafen,http://www.gruene-egg-leo.de
10102004,OV,Graben-Neudorf,
10102005,OV,Kraichtal,
10102006,OV,Oberderdingen,
10102007,OV,Pfinztal,
10102008,OV,Stutensee,http://www.gruene-karlsruhe-land.de/stutensee.html
10102009,OV,Ubstadt-Weiher,
10102010,OV,Östringen,
10102011,OV,Karlsbad/Waldbronn/Marxzell,
10102012,OV,Bad Schönborn,
10102013,OV,Gondelsheim,
10102014,OV,Linkenheim-Hochstetten,
10102015,OV,Sulzfeld,
10102016,OV,Walzbachtal,
10102100,KV,Konstanz,http://www.gruene-konstanz.de
10102102,OV,Singen,
10102103,OV,Stockach,http://www.gruene.de/stockach
10102104,OV,Rielasingen-Worblingen,
10102200,KV,Lörrach,http://www.gruene-loerrach.de
10102201,OV,Efringen-Kirchen,
10102202,OV,Grenzach-Wyhlen,
10102203,OV,Kandern,
10102204,OV,Lörrach,
10102205,OV,Rheinfelden,
10102206,OV,Schliengen,http://www.gruene.de/schliengen
10102207,OV,Schopfheim,
10102208,OV,Steinen,
10102210,OV,Weil am Rhein,
10102211,OV,Oberes Wiesental,
10102300,KV,Ludwigsburg,http://www.gruene-ludwigsburg.de
10102301,OV,Asperg,
10102302,OV,Bietigheim/Bissingen,
10102303,OV,Neckar-Stromberg,
10102304,OV,Bottwartal,
10102305,OV,Freiberg,http://www.gruenefreiberg.de
10102306,OV,Gerlingen,http://www.gruene-gerlingen.de
10102308,OV,Ingersheim,http://ingersheim.gruene-ludwigsburg.de
10102309,OV,Korntal/Münchingen,http://www.gruene-korntal-muenchingen.de
10102310,OV,Kornwestheim,http://www.gruene-kornwestheim.de
10102311,OV,Ludwigsburg,http://ov.gruene-ludwigsburg.de
10102312,OV,Marbach,http://www.gruene.de/marbach
10102314,OV,Möglingen,
10102315,OV,Remseck,www.gruene-remseck.de
10102316,OV,Sachsenheim,
10102317,OV,Tamm,
10102318,OV,Vaihingen/Enz und Umgebung,http://www.gruene-vaihingen.de
10102319,OV,Erdmannhausen,http://www.gruene-erdmannhausen.de/ortsverband
10102320,OV,Ditzingen,
10102321,OV,Schwieberdingen,
10102400,KV,Main-Tauber,http://www.gruene-main-tauber.de
10102401,OV,Bad Mergentheim,http://www.gruene-mgh.de
10102406,OV,Tauberbischofsheim,
10102407,OV,Wertheim,http://www.gruene-wertheim.de
10102500,KV,Mannheim,http://www.gruene-mannheim.de
10102501,OV,Mannheim-Feudenheim,
10102502,OV,Mannheim-Mitte,
10102503,OV,Neckarau,
10102504,OV,Lindenhof,
10102507,OV,Neckarstadt,
